@relation 'DiggNetwork_Data-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,5-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute 'Adamic Adar' numeric
@attribute 'Association Strength' numeric
@attribute 'Common Neighbors' numeric
@attribute Jaccard numeric
@attribute 'Min Overlap' numeric
@attribute NMeasure numeric
@attribute 'Resource Allocation' numeric
@attribute 'Rooted PageRank' numeric
@attribute Labels {'Not Form',Form}

@data
0.25973,0.002404,1,0.02439,0.0625,0.046324,0.021277,0.000924,'Not Form'
0.369269,0.142857,1,0.142857,1,0.2,0.066667,0.027893,'Not Form'
0.291207,0.001116,1,0.016949,0.035714,0.03326,0.032258,0.001976,'Not Form'
0.192775,0.033333,1,0.0625,0.5,0.093454,0.005587,0.001289,'Not Form'
0.239556,0.002584,1,0.019608,0.111111,0.032191,0.015385,0.00132,'Not Form'
0.217147,0.003003,1,0.022222,0.111111,0.037139,0.01,0.001399,'Not Form'
0.205769,0.002604,1,0.025641,0.0625,0.049029,0.007752,0.001162,'Not Form'
0.276938,0.027778,1,0.083333,0.25,0.143592,0.027027,0.004169,'Not Form'
0.187184,0.011111,1,0.021739,0.5,0.031396,0.004785,0.004694,'Not Form'
0.245246,0.002353,1,0.02439,0.058824,0.046778,0.016949,0.002449,'Not Form'
1.442695,0.071429,1,0.071429,1,0.100759,0.5,0.202957,'Not Form'
0.294014,0.006494,1,0.035714,0.142857,0.061256,0.033333,0.002692,'Not Form'
0.434294,0.5,1,0.5,1,0.632456,0.1,0.059839,'Not Form'
0.303413,0.03125,1,0.058824,0.5,0.087706,0.037037,0.007991,'Not Form'
0.202953,0.066667,1,0.066667,1,0.094072,0.007246,0.006236,'Not Form'
0.261189,0.076923,1,0.076923,1,0.108465,0.021739,0.008437,'Not Form'
0.352956,0.015625,1,0.052632,0.25,0.085749,0.058824,0.005623,'Not Form'
0.269283,0.000947,1,0.014493,0.045455,0.026784,0.02439,0.003455,'Not Form'
0.502757,0.001035,2,0.013333,0.142857,0.020391,0.042909,0.006275,'Not Form'
0.318929,0.002174,1,0.008475,0.25,0.01229,0.043478,0.011374,'Not Form'
0.910239,0.00271,1,0.020408,0.111111,0.033691,0.333333,0.011339,'Not Form'
0.328459,0.00431,1,0.008547,0.5,0.01219,0.047619,0.02062,'Not Form'
0.198533,0.047619,1,0.111111,0.333333,0.185695,0.006494,0.002699,'Not Form'
0.241363,0.000642,1,0.012821,0.026316,0.025298,0.015873,0.00134,'Not Form'
0.276938,0.022222,1,0.058824,0.333333,0.09245,0.027027,0.007704,'Not Form'
0.187184,0.006536,1,0.018868,0.333333,0.027682,0.004785,0.0083,'Not Form'
0.206433,0.007937,1,0.045455,0.111111,0.084972,0.007874,0.001629,'Not Form'
0.241363,0.045455,1,0.083333,0.5,0.126491,0.015873,0.005027,'Not Form'
0.261189,0.00463,1,0.029412,0.125,0.05022,0.021739,0.002534,'Not Form'
0.314658,0.002381,1,0.015152,0.142857,0.023411,0.041667,0.007318,'Not Form'
0.513898,0.047619,1,0.047619,1,0.067267,0.142857,0.057833,'Not Form'
0.481161,0.011765,2,0.08,0.2,0.143407,0.036255,0.003054,'Not Form'
0.195161,0.005,1,0.034483,0.1,0.063246,0.005952,0.001091,'Not Form'
0.328459,0.027778,1,0.090909,0.166667,0.166667,0.047619,0.005908,'Not Form'
0.434294,0.071429,1,0.125,0.5,0.194257,0.1,0.023774,'Not Form'
0.245246,0.02,1,0.071429,0.2,0.126491,0.016949,0.002921,'Not Form'
0.236177,0.166667,1,0.166667,1,0.232495,0.014493,0.006134,'Not Form'
0.265873,0.066667,1,0.142857,0.333333,0.242536,0.023256,0.005661,'Not Form'
0.193405,0.034483,1,0.034483,1,0.048737,0.005682,0.0034,'Not Form'
0.513898,0.166667,1,0.25,0.5,0.392232,0.142857,0.043309,'Not Form'
0.272958,0.02381,1,0.0625,0.333333,0.098773,0.025641,0.003375,'Not Form'
0.279055,0.013158,1,0.025641,0.5,0.037165,0.027778,0.005739,'Not Form'
0.721348,0.005952,1,0.005952,1,0.008418,0.25,0.097968,'Not Form'
0.193405,0.001401,1,0.018519,0.047619,0.035389,0.005682,0.001071,'Not Form'
0.296974,0.005208,1,0.037037,0.083333,0.070711,0.034483,0.001715,'Not Form'
0.249543,0.032258,1,0.032258,1,0.045596,0.018182,0.007052,'Not Form'
0.265873,0.002809,1,0.01087,0.25,0.015874,0.023256,0.003005,'Not Form'
0.558111,0.012346,1,0.058824,0.111111,0.111111,0.166667,0.010782,'Not Form'
